date_id,full_date,year,quarter,month,month_name,day,day_name,week_of_year,is_weekend,fiscal_year
20220101,2022-01-01,2022,1,1,January,1,Saturday,52,1,2021
20220102,2022-01-02,2022,1,1,January,2,Sunday,52,1,2021
20220103,2022-01-03,2022,1,1,January,3,Monday,1,0,2021
20220104,2022-01-04,2022,1,1,January,4,Tuesday,1,0,2021
20220105,2022-01-05,2022,1,1,January,5,Wednesday,1,0,2021
20220106,2022-01-06,2022,1,1,January,6,Thursday,1,0,2021
20220107,2022-01-07,2022,1,1,January,7,Friday,1,0,2021
20220108,2022-01-08,2022,1,1,January,8,Saturday,1,1,2021
20220109,2022-01-09,2022,1,1,January,9,Sunday,1,1,2021
20220110,2022-01-10,2022,1,1,January,10,Monday,2,0,2021
20220111,2022-01-11,2022,1,1,January,11,Tuesday,2,0,2021
20220112,2022-01-12,2022,1,1,January,12,Wednesday,2,0,2021
20220113,2022-01-13,2022,1,1,January,13,Thursday,2,0,2021
20220114,2022-01-14,2022,1,1,January,14,Friday,2,0,2021
20220115,2022-01-15,2022,1,1,January,15,Saturday,2,1,2021
20220116,2022-01-16,2022,1,1,January,16,Sunday,2,1,2021
20220117,2022-01-17,2022,1,1,January,17,Monday,3,0,2021
20220118,2022-01-18,2022,1,1,January,18,Tuesday,3,0,2021
20220119,2022-01-19,2022,1,1,January,19,Wednesday,3,0,2021
20220120,2022-01-20,2022,1,1,January,20,Thursday,3,0,2021
20220121,2022-01-21,2022,1,1,January,21,Friday,3,0,2021
20220122,2022-01-22,2022,1,1,January,22,Saturday,3,1,2021
20220123,2022-01-23,2022,1,1,January,23,Sunday,3,1,2021
20220124,2022-01-24,2022,1,1,January,24,Monday,4,0,2021
20220125,2022-01-25,2022,1,1,January,25,Tuesday,4,0,2021
20220126,2022-01-26,2022,1,1,January,26,Wednesday,4,0,2021
20220127,2022-01-27,2022,1,1,January,27,Thursday,4,0,2021
20220128,2022-01-28,2022,1,1,January,28,Friday,4,0,2021
20220129,2022-01-29,2022,1,1,January,29,Saturday,4,1,2021
20220130,2022-01-30,2022,1,1,January,30,Sunday,4,1,2021
20220131,2022-01-31,2022,1,1,January,31,Monday,5,0,2021
20220201,2022-02-01,2022,1,2,February,1,Tuesday,5,0,2021
20220202,2022-02-02,2022,1,2,February,2,Wednesday,5,0,2021
20220203,2022-02-03,2022,1,2,February,3,Thursday,5,0,2021
20220204,2022-02-04,2022,1,2,February,4,Friday,5,0,2021
20220205,2022-02-05,2022,1,2,February,5,Saturday,5,1,2021
20220206,2022-02-06,2022,1,2,February,6,Sunday,5,1,2021
20220207,2022-02-07,2022,1,2,February,7,Monday,6,0,2021
20220208,2022-02-08,2022,1,2,February,8,Tuesday,6,0,2021
20220209,2022-02-09,2022,1,2,February,9,Wednesday,6,0,2021
20220210,2022-02-10,2022,1,2,February,10,Thursday,6,0,2021
20220211,2022-02-11,2022,1,2,February,11,Friday,6,0,2021
20220212,2022-02-12,2022,1,2,February,12,Saturday,6,1,2021
20220213,2022-02-13,2022,1,2,February,13,Sunday,6,1,2021
20220214,2022-02-14,2022,1,2,February,14,Monday,7,0,2021
20220215,2022-02-15,2022,1,2,February,15,Tuesday,7,0,2021
20220216,2022-02-16,2022,1,2,February,16,Wednesday,7,0,2021
20220217,2022-02-17,2022,1,2,February,17,Thursday,7,0,2021
20220218,2022-02-18,2022,1,2,February,18,Friday,7,0,2021
20220219,2022-02-19,2022,1,2,February,19,Saturday,7,1,2021
20220220,2022-02-20,2022,1,2,February,20,Sunday,7,1,2021
20220221,2022-02-21,2022,1,2,February,21,Monday,8,0,2021
20220222,2022-02-22,2022,1,2,February,22,Tuesday,8,0,2021
20220223,2022-02-23,2022,1,2,February,23,Wednesday,8,0,2021
20220224,2022-02-24,2022,1,2,February,24,Thursday,8,0,2021
20220225,2022-02-25,2022,1,2,February,25,Friday,8,0,2021
20220226,2022-02-26,2022,1,2,February,26,Saturday,8,1,2021
20220227,2022-02-27,2022,1,2,February,27,Sunday,8,1,2021
20220228,2022-02-28,2022,1,2,February,28,Monday,9,0,2021
20220301,2022-03-01,2022,1,3,March,1,Tuesday,9,0,2021
20220302,2022-03-02,2022,1,3,March,2,Wednesday,9,0,2021
20220303,2022-03-03,2022,1,3,March,3,Thursday,9,0,2021
20220304,2022-03-04,2022,1,3,March,4,Friday,9,0,2021
20220305,2022-03-05,2022,1,3,March,5,Saturday,9,1,2021
20220306,2022-03-06,2022,1,3,March,6,Sunday,9,1,2021
20220307,2022-03-07,2022,1,3,March,7,Monday,10,0,2021
20220308,2022-03-08,2022,1,3,March,8,Tuesday,10,0,2021
20220309,2022-03-09,2022,1,3,March,9,Wednesday,10,0,2021
20220310,2022-03-10,2022,1,3,March,10,Thursday,10,0,2021
20220311,2022-03-11,2022,1,3,March,11,Friday,10,0,2021
20220312,2022-03-12,2022,1,3,March,12,Saturday,10,1,2021
20220313,2022-03-13,2022,1,3,March,13,Sunday,10,1,2021
20220314,2022-03-14,2022,1,3,March,14,Monday,11,0,2021
20220315,2022-03-15,2022,1,3,March,15,Tuesday,11,0,2021
20220316,2022-03-16,2022,1,3,March,16,Wednesday,11,0,2021
20220317,2022-03-17,2022,1,3,March,17,Thursday,11,0,2021
20220318,2022-03-18,2022,1,3,March,18,Friday,11,0,2021
20220319,2022-03-19,2022,1,3,March,19,Saturday,11,1,2021
20220320,2022-03-20,2022,1,3,March,20,Sunday,11,1,2021
20220321,2022-03-21,2022,1,3,March,21,Monday,12,0,2021
20220322,2022-03-22,2022,1,3,March,22,Tuesday,12,0,2021
20220323,2022-03-23,2022,1,3,March,23,Wednesday,12,0,2021
20220324,2022-03-24,2022,1,3,March,24,Thursday,12,0,2021
20220325,2022-03-25,2022,1,3,March,25,Friday,12,0,2021
20220326,2022-03-26,2022,1,3,March,26,Saturday,12,1,2021
20220327,2022-03-27,2022,1,3,March,27,Sunday,12,1,2021
20220328,2022-03-28,2022,1,3,March,28,Monday,13,0,2021
20220329,2022-03-29,2022,1,3,March,29,Tuesday,13,0,2021
20220330,2022-03-30,2022,1,3,March,30,Wednesday,13,0,2021
20220331,2022-03-31,2022,1,3,March,31,Thursday,13,0,2021
20220401,2022-04-01,2022,2,4,April,1,Friday,13,0,2022
20220402,2022-04-02,2022,2,4,April,2,Saturday,13,1,2022
20220403,2022-04-03,2022,2,4,April,3,Sunday,13,1,2022
20220404,2022-04-04,2022,2,4,April,4,Monday,14,0,2022
20220405,2022-04-05,2022,2,4,April,5,Tuesday,14,0,2022
20220406,2022-04-06,2022,2,4,April,6,Wednesday,14,0,2022
20220407,2022-04-07,2022,2,4,April,7,Thursday,14,0,2022
20220408,2022-04-08,2022,2,4,April,8,Friday,14,0,2022
20220409,2022-04-09,2022,2,4,April,9,Saturday,14,1,2022
20220410,2022-04-10,2022,2,4,April,10,Sunday,14,1,2022
20220411,2022-04-11,2022,2,4,April,11,Monday,15,0,2022
20220412,2022-04-12,2022,2,4,April,12,Tuesday,15,0,2022
20220413,2022-04-13,2022,2,4,April,13,Wednesday,15,0,2022
20220414,2022-04-14,2022,2,4,April,14,Thursday,15,0,2022
20220415,2022-04-15,2022,2,4,April,15,Friday,15,0,2022
20220416,2022-04-16,2022,2,4,April,16,Saturday,15,1,2022
20220417,2022-04-17,2022,2,4,April,17,Sunday,15,1,2022
20220418,2022-04-18,2022,2,4,April,18,Monday,16,0,2022
20220419,2022-04-19,2022,2,4,April,19,Tuesday,16,0,2022
20220420,2022-04-20,2022,2,4,April,20,Wednesday,16,0,2022
20220421,2022-04-21,2022,2,4,April,21,Thursday,16,0,2022
20220422,2022-04-22,2022,2,4,April,22,Friday,16,0,2022
20220423,2022-04-23,2022,2,4,April,23,Saturday,16,1,2022
20220424,2022-04-24,2022,2,4,April,24,Sunday,16,1,2022
20220425,2022-04-25,2022,2,4,April,25,Monday,17,0,2022
20220426,2022-04-26,2022,2,4,April,26,Tuesday,17,0,2022
20220427,2022-04-27,2022,2,4,April,27,Wednesday,17,0,2022
20220428,2022-04-28,2022,2,4,April,28,Thursday,17,0,2022
20220429,2022-04-29,2022,2,4,April,29,Friday,17,0,2022
20220430,2022-04-30,2022,2,4,April,30,Saturday,17,1,2022
20220501,2022-05-01,2022,2,5,May,1,Sunday,17,1,2022
20220502,2022-05-02,2022,2,5,May,2,Monday,18,0,2022
20220503,2022-05-03,2022,2,5,May,3,Tuesday,18,0,2022
20220504,2022-05-04,2022,2,5,May,4,Wednesday,18,0,2022
20220505,2022-05-05,2022,2,5,May,5,Thursday,18,0,2022
20220506,2022-05-06,2022,2,5,May,6,Friday,18,0,2022
20220507,2022-05-07,2022,2,5,May,7,Saturday,18,1,2022
20220508,2022-05-08,2022,2,5,May,8,Sunday,18,1,2022
20220509,2022-05-09,2022,2,5,May,9,Monday,19,0,2022
20220510,2022-05-10,2022,2,5,May,10,Tuesday,19,0,2022
20220511,2022-05-11,2022,2,5,May,11,Wednesday,19,0,2022
20220512,2022-05-12,2022,2,5,May,12,Thursday,19,0,2022
20220513,2022-05-13,2022,2,5,May,13,Friday,19,0,2022
20220514,2022-05-14,2022,2,5,May,14,Saturday,19,1,2022
20220515,2022-05-15,2022,2,5,May,15,Sunday,19,1,2022
20220516,2022-05-16,2022,2,5,May,16,Monday,20,0,2022
20220517,2022-05-17,2022,2,5,May,17,Tuesday,20,0,2022
20220518,2022-05-18,2022,2,5,May,18,Wednesday,20,0,2022
20220519,2022-05-19,2022,2,5,May,19,Thursday,20,0,2022
20220520,2022-05-20,2022,2,5,May,20,Friday,20,0,2022
