product_id,warehouse,stock_quantity,reorder_level,last_restock_date,needs_reorder
P0001,WH-EAST,374,36,2024-07-17,False
P0002,WH-EU,336,96,2024-09-15,False
P0003,WH-APAC,451,69,2024-11-07,False
P0004,WH-EU,468,51,2024-07-22,False
P0005,WH-EU,493,63,2024-08-19,False
P0006,WH-WEST,412,37,2024-07-30,False
P0007,WH-EU,308,85,2025-03-07,False
P0008,WH-EU,359,90,2024-12-30,False
P0009,WH-WEST,377,90,2024-04-12,False
P0010,WH-EU,107,99,2024-12-17,False
P0011,WH-WEST,176,36,2024-09-14,False
P0012,WH-EAST,277,61,2025-01-24,False
P0013,WH-APAC,180,91,2024-10-25,False
P0014,WH-EU,292,73,2025-03-25,False
P0015,WH-EAST,433,74,2024-09-24,False
P0016,WH-APAC,54,23,2024-03-15,False
P0017,WH-WEST,27,27,2024-05-16,True
P0018,WH-EU,384,40,2024-12-15,False
P0019,WH-EAST,128,38,2024-12-19,False
P0020,WH-WEST,401,57,2025-01-20,False
P0021,WH-EU,277,24,2025-02-20,False
P0022,WH-WEST,231,33,2025-01-15,False
