order_id,order_date,customer_id,product_id,quantity,unit_price,discount_pct,gross_amount,discount_amount,net_revenue,total_cost,profit,profit_margin_pct,date_id
SO000001,2024-03-07,C00332,P0018,4,808.88,0.05,3235.52,161.78,3073.74,1626.32,1447.42,0.4709,20240307
SO000002,2022-04-07,C00355,P0022,7,316.23,0.0,2213.61,0.0,2213.61,1078.7,1134.91,0.5127,20220407
SO000003,2022-04-21,C00161,P0018,1,808.88,0.1,808.88,80.89,727.99,406.58,321.41,0.4415,20220421
SO000004,2023-04-07,C00441,P0015,11,1099.41,0.1,12093.51,1209.35,10884.16,5249.42,5634.74,0.5177,20230407
SO000005,2023-02-07,C00280,P0020,12,1298.32,0.2,15579.84,3115.97,12463.87,8081.64,4382.23,0.3516,20230207
SO000006,2023-01-18,C00350,P0003,3,329.69,0.1,989.07,98.91,890.16,567.21,322.95,0.3628,20230118
SO000007,2023-06-26,C00143,P0018,3,808.88,0.0,2426.64,0.0,2426.64,1219.74,1206.9,0.4974,20230626
SO000008,2022-03-23,C00239,P0005,3,483.19,0.15,1449.57,217.44,1232.13,732.63,499.5,0.4054,20220323
SO000009,2023-09-09,C00321,P0020,8,1298.32,0.1,10386.56,1038.66,9347.9,5387.76,3960.14,0.4236,20230909
SO000010,2024-12-12,C00363,P0011,6,612.61,0.2,3675.66,735.13,2940.53,1940.52,1000.01,0.3401,20241212
SO000011,2024-04-06,C00082,P0014,2,1773.38,0.0,3546.76,0.0,3546.76,1484.8,2061.96,0.5814,20240406
SO000012,2023-08-25,C00170,P0012,4,1402.52,0.2,5610.08,1122.02,4488.06,2513.68,1974.38,0.4399,20230825
SO000013,2022-01-19,C00288,P0021,2,1034.07,0.05,2068.14,103.41,1964.73,828.08,1136.65,0.5785,20220119
SO000014,2023-05-15,C00315,P0020,1,1298.32,0.05,1298.32,64.92,1233.4,673.47,559.93,0.454,20230515
SO000015,2024-03-01,C00484,P0004,5,1701.98,0.05,8509.9,425.5,8084.4,3332.3,4752.1,0.5878,20240301
SO000016,2024-11-19,C00421,P0012,13,1402.52,0.0,18232.76,0.0,18232.76,8169.46,10063.3,0.5519,20241119
SO000017,2024-11-18,C00099,P0011,3,612.61,0.15,1837.83,275.67,1562.16,970.26,591.9,0.3789,20241118
SO000018,2022-01-16,C00276,P0018,11,808.88,0.0,8897.68,0.0,8897.68,4472.38,4425.3,0.4974,20220116
SO000019,2024-05-18,C00443,P0022,2,316.23,0.0,632.46,0.0,632.46,308.2,324.26,0.5127,20240518
SO000020,2022-05-28,C00380,P0014,12,1773.38,0.05,21280.56,1064.03,20216.53,8908.8,11307.73,0.5593,20220528
SO000021,2022-05-31,C00020,P0003,1,329.69,0.0,329.69,0.0,329.69,189.07,140.62,0.4265,20220531
SO000022,2023-06-14,C00421,P0008,7,1292.98,0.0,9050.86,0.0,9050.86,4044.11,5006.75,0.5532,20230614
SO000023,2022-08-31,C00009,P0013,9,183.15,0.0,1648.35,0.0,1648.35,896.4,751.95,0.4562,20220831
SO000024,2022-04-04,C00382,P0019,12,133.67,0.1,1604.04,160.4,1443.64,637.56,806.08,0.5584,20220404
SO000025,2023-09-10,C00149,P0022,10,316.23,0.0,3162.3,0.0,3162.3,1541.0,1621.3,0.5127,20230910
SO000026,2022-03-05,C00203,P0022,8,316.23,0.0,2529.84,0.0,2529.84,1232.8,1297.04,0.5127,20220305
SO000027,2023-08-28,C00408,P0018,11,808.88,0.0,8897.68,0.0,8897.68,4472.38,4425.3,0.4974,20230828
SO000028,2024-02-04,C00408,P0021,1,1034.07,0.05,1034.07,51.7,982.37,414.04,568.33,0.5785,20240204
SO000029,2024-03-18,C00003,P0019,9,133.67,0.05,1203.03,60.15,1142.88,478.17,664.71,0.5816,20240318
SO000030,2023-03-10,C00380,P0012,7,1402.52,0.15,9817.64,1472.65,8344.99,4398.94,3946.05,0.4729,20230310
SO000031,2023-06-02,C00095,P0008,4,1292.98,0.0,5171.92,0.0,5171.92,2310.92,2861.0,0.5532,20230602
SO000032,2024-08-02,C00028,P0018,11,808.88,0.05,8897.68,444.88,8452.8,4472.38,3980.42,0.4709,20240802
SO000033,2024-09-24,C00051,P0007,6,213.28,0.0,1279.68,0.0,1279.68,863.16,416.52,0.3255,20240924
SO000034,2022-05-23,C00146,P0020,4,1298.32,0.0,5193.28,0.0,5193.28,2693.88,2499.4,0.4813,20220523
SO000035,2022-11-09,C00157,P0019,15,133.67,0.05,2005.05,100.25,1904.8,796.95,1107.85,0.5816,20221109
SO000036,2023-10-04,C00087,P0001,4,1184.23,0.1,4736.92,473.69,4263.23,2123.52,2139.71,0.5019,20231004
SO000037,2022-10-03,C00142,P0012,11,1402.52,0.1,15427.72,1542.77,13884.95,6912.62,6972.33,0.5022,20221003
SO000038,2024-09-24,C00184,P0010,9,407.06,0.0,3663.54,0.0,3663.54,1459.98,2203.56,0.6015,20240924
SO000039,2023-02-07,C00144,P0005,5,483.19,0.1,2415.95,241.59,2174.36,1221.05,953.31,0.4384,20230207
SO000040,2024-11-04,C00457,P0001,16,1184.23,0.0,18947.68,0.0,18947.68,8494.08,10453.6,0.5517,20241104
SO000041,2022-03-17,C00303,P0007,9,213.28,0.0,1919.52,0.0,1919.52,1294.74,624.78,0.3255,20220317
SO000042,2024-01-20,C00335,P0005,7,483.19,0.0,3382.33,0.0,3382.33,1709.47,1672.86,0.4946,20240120
SO000043,2024-08-09,C00149,P0005,9,483.19,0.05,4348.71,217.44,4131.27,2197.89,1933.38,0.468,20240809
SO000044,2022-12-06,C00340,P0008,13,1292.98,0.0,16808.74,0.0,16808.74,7510.49,9298.25,0.5532,20221206
SO000045,2022-10-27,C00290,P0022,12,316.23,0.1,3794.76,379.48,3415.28,1849.2,1566.08,0.4586,20221027
SO000046,2023-04-20,C00390,P0016,2,794.81,0.0,1589.62,0.0,1589.62,737.3,852.32,0.5362,20230420
SO000047,2024-03-05,C00266,P0012,8,1402.52,0.15,11220.16,1683.02,9537.14,5027.36,4509.78,0.4729,20240305
SO000048,2022-07-31,C00333,P0011,12,612.61,0.2,7351.32,1470.26,5881.06,3881.04,2000.02,0.3401,20220731
SO000049,2022-12-23,C00380,P0009,10,207.23,0.05,2072.3,103.62,1968.68,989.6,979.08,0.4973,20221223
SO000050,2024-11-24,C00428,P0003,8,329.69,0.0,2637.52,0.0,2637.52,1512.56,1124.96,0.4265,20241124
