order_id,date_id,customer_id,product_id,quantity,unit_price,discount_pct,gross_amount,discount_amount,net_revenue,total_cost,profit,profit_margin_pct
SO000001,20240307,C00332,P0018,4,808.88,0.05,3235.52,161.78,3073.74,1626.32,1447.42,0.4709
SO000002,20220407,C00355,P0022,7,316.23,0.0,2213.61,0.0,2213.61,1078.7,1134.91,0.5127
SO000003,20220421,C00161,P0018,1,808.88,0.1,808.88,80.89,727.99,406.58,321.41,0.4415
SO000004,20230407,C00441,P0015,11,1099.41,0.1,12093.51,1209.35,10884.16,5249.42,5634.74,0.5177
SO000005,20230207,C00280,P0020,12,1298.32,0.2,15579.84,3115.97,12463.87,8081.64,4382.23,0.3516
SO000006,20230118,C00350,P0003,3,329.69,0.1,989.07,98.91,890.16,567.21,322.95,0.3628
SO000007,20230626,C00143,P0018,3,808.88,0.0,2426.64,0.0,2426.64,1219.74,1206.9,0.4974
SO000008,20220323,C00239,P0005,3,483.19,0.15,1449.57,217.44,1232.13,732.63,499.5,0.4054
SO000009,20230909,C00321,P0020,8,1298.32,0.1,10386.56,1038.66,9347.9,5387.76,3960.14,0.4236
SO000010,20241212,C00363,P0011,6,612.61,0.2,3675.66,735.13,2940.53,1940.52,1000.01,0.3401
SO000011,20240406,C00082,P0014,2,1773.38,0.0,3546.76,0.0,3546.76,1484.8,2061.96,0.5814
SO000012,20230825,C00170,P0012,4,1402.52,0.2,5610.08,1122.02,4488.06,2513.68,1974.38,0.4399
SO000013,20220119,C00288,P0021,2,1034.07,0.05,2068.14,103.41,1964.73,828.08,1136.65,0.5785
SO000014,20230515,C00315,P0020,1,1298.32,0.05,1298.32,64.92,1233.4,673.47,559.93,0.454
SO000015,20240301,C00484,P0004,5,1701.98,0.05,8509.9,425.5,8084.4,3332.3,4752.1,0.5878
SO000016,20241119,C00421,P0012,13,1402.52,0.0,18232.76,0.0,18232.76,8169.46,10063.3,0.5519
SO000017,20241118,C00099,P0011,3,612.61,0.15,1837.83,275.67,1562.16,970.26,591.9,0.3789
SO000018,20220116,C00276,P0018,11,808.88,0.0,8897.68,0.0,8897.68,4472.38,4425.3,0.4974
SO000019,20240518,C00443,P0022,2,316.23,0.0,632.46,0.0,632.46,308.2,324.26,0.5127
SO000020,20220528,C00380,P0014,12,1773.38,0.05,21280.56,1064.03,20216.53,8908.8,11307.73,0.5593
SO000021,20220531,C00020,P0003,1,329.69,0.0,329.69,0.0,329.69,189.07,140.62,0.4265
SO000022,20230614,C00421,P0008,7,1292.98,0.0,9050.86,0.0,9050.86,4044.11,5006.75,0.5532
SO000023,20220831,C00009,P0013,9,183.15,0.0,1648.35,0.0,1648.35,896.4,751.95,0.4562
SO000024,20220404,C00382,P0019,12,133.67,0.1,1604.04,160.4,1443.64,637.56,806.08,0.5584
SO000025,20230910,C00149,P0022,10,316.23,0.0,3162.3,0.0,3162.3,1541.0,1621.3,0.5127
SO000026,20220305,C00203,P0022,8,316.23,0.0,2529.84,0.0,2529.84,1232.8,1297.04,0.5127
SO000027,20230828,C00408,P0018,11,808.88,0.0,8897.68,0.0,8897.68,4472.38,4425.3,0.4974
SO000028,20240204,C00408,P0021,1,1034.07,0.05,1034.07,51.7,982.37,414.04,568.33,0.5785
SO000029,20240318,C00003,P0019,9,133.67,0.05,1203.03,60.15,1142.88,478.17,664.71,0.5816
SO000030,20230310,C00380,P0012,7,1402.52,0.15,9817.64,1472.65,8344.99,4398.94,3946.05,0.4729
SO000031,20230602,C00095,P0008,4,1292.98,0.0,5171.92,0.0,5171.92,2310.92,2861.0,0.5532
SO000032,20240802,C00028,P0018,11,808.88,0.05,8897.68,444.88,8452.8,4472.38,3980.42,0.4709
SO000033,20240924,C00051,P0007,6,213.28,0.0,1279.68,0.0,1279.68,863.16,416.52,0.3255
SO000034,20220523,C00146,P0020,4,1298.32,0.0,5193.28,0.0,5193.28,2693.88,2499.4,0.4813
SO000035,20221109,C00157,P0019,15,133.67,0.05,2005.05,100.25,1904.8,796.95,1107.85,0.5816
SO000036,20231004,C00087,P0001,4,1184.23,0.1,4736.92,473.69,4263.23,2123.52,2139.71,0.5019
SO000037,20221003,C00142,P0012,11,1402.52,0.1,15427.72,1542.77,13884.95,6912.62,6972.33,0.5022
SO000038,20240924,C00184,P0010,9,407.06,0.0,3663.54,0.0,3663.54,1459.98,2203.56,0.6015
SO000039,20230207,C00144,P0005,5,483.19,0.1,2415.95,241.59,2174.36,1221.05,953.31,0.4384
SO000040,20241104,C00457,P0001,16,1184.23,0.0,18947.68,0.0,18947.68,8494.08,10453.6,0.5517
SO000041,20220317,C00303,P0007,9,213.28,0.0,1919.52,0.0,1919.52,1294.74,624.78,0.3255
SO000042,20240120,C00335,P0005,7,483.19,0.0,3382.33,0.0,3382.33,1709.47,1672.86,0.4946
SO000043,20240809,C00149,P0005,9,483.19,0.05,4348.71,217.44,4131.27,2197.89,1933.38,0.468
SO000044,20221206,C00340,P0008,13,1292.98,0.0,16808.74,0.0,16808.74,7510.49,9298.25,0.5532
SO000045,20221027,C00290,P0022,12,316.23,0.1,3794.76,379.48,3415.28,1849.2,1566.08,0.4586
SO000046,20230420,C00390,P0016,2,794.81,0.0,1589.62,0.0,1589.62,737.3,852.32,0.5362
SO000047,20240305,C00266,P0012,8,1402.52,0.15,11220.16,1683.02,9537.14,5027.36,4509.78,0.4729
SO000048,20220731,C00333,P0011,12,612.61,0.2,7351.32,1470.26,5881.06,3881.04,2000.02,0.3401
SO000049,20221223,C00380,P0009,10,207.23,0.05,2072.3,103.62,1968.68,989.6,979.08,0.4973
SO000050,20241124,C00428,P0003,8,329.69,0.0,2637.52,0.0,2637.52,1512.56,1124.96,0.4265
SO000052,20230417,C00226,P0006,2,769.69,0.05,1539.38,76.97,1462.41,1132.3,330.11,0.2257
SO000053,20220831,C00081,P0012,11,1402.52,0.0,15427.72,0.0,15427.72,6912.62,8515.1,0.5519
SO000054,20240907,C00247,P0022,8,316.23,0.0,2529.84,0.0,2529.84,1232.8,1297.04,0.5127
SO000055,20220330,C00012,P0008,3,1292.98,0.05,3878.94,193.95,3684.99,1733.19,1951.8,0.5297
SO000056,20221028,C00021,P0019,1,133.67,0.0,133.67,0.0,133.67,53.13,80.54,0.6025
SO000057,20220208,C00208,P0020,12,1298.32,0.1,15579.84,1557.98,14021.86,8081.64,5940.22,0.4236
SO000058,20240823,C00111,P0015,8,1099.41,0.0,8795.28,0.0,8795.28,3817.76,4977.52,0.5659
SO000059,20230108,C00407,P0019,10,133.67,0.05,1336.7,66.84,1269.86,531.3,738.56,0.5816
SO000060,20220521,C00176,P0015,4,1099.41,0.0,4397.64,0.0,4397.64,1908.88,2488.76,0.5659
SO000061,20240509,C00268,P0017,3,1129.3,0.05,3387.9,169.4,3218.5,2296.83,921.67,0.2864
SO000062,20241224,C00308,P0002,13,239.03,0.1,3107.39,310.74,2796.65,1358.63,1438.02,0.5142
SO000063,20220103,C00462,P0020,11,1298.32,0.05,14281.52,714.08,13567.44,7408.17,6159.27,0.454
SO000064,20240528,C00023,P0017,4,1129.3,0.15,4517.2,677.58,3839.62,3062.44,777.18,0.2024
SO000065,20220720,C00180,P0019,7,133.67,0.0,935.69,0.0,935.69,371.91,563.78,0.6025
SO000066,20230804,C00440,P0003,10,329.69,0.15,3296.9,494.53,2802.37,1890.7,911.67,0.3253
SO000067,20241206,C00364,P0001,3,1184.23,0.05,3552.69,177.63,3375.06,1592.64,1782.42,0.5281
SO000068,20240417,C00412,P0011,6,612.61,0.0,3675.66,0.0,3675.66,1940.52,1735.14,0.4721
SO000069,20240517,C00134,P0018,10,808.88,0.0,8088.8,0.0,8088.8,4065.8,4023.0,0.4974
SO000070,20240426,C00387,P0007,9,213.28,0.1,1919.52,191.95,1727.57,1294.74,432.83,0.2505
SO000071,20230604,C00285,P0016,5,794.81,0.05,3974.05,198.7,3775.35,1843.25,1932.1,0.5118
