order_id,order_date,customer_id,product_id,quantity,unit_price,discount_pct,gross_amount,discount_amount,net_revenue,total_cost
SO000001,2024-03-07,C00332,P0018,4,808.88,0.05,3235.52,161.78,3073.74,1626.32
SO000002,2022-04-07,C00355,P0022,7,316.23,0.0,2213.61,0.0,2213.61,1078.7
SO000003,2022-04-21,C00161,P0018,1,808.88,0.1,808.88,80.89,727.99,406.58
SO000004,2023-04-07,C00441,P0015,11,1099.41,0.1,12093.51,1209.35,10884.16,5249.42
SO000005,2023-02-07,C00280,P0020,12,1298.32,0.2,15579.84,3115.97,12463.87,8081.64
SO000006,2023-01-18,C00350,P0003,3,329.69,0.1,989.07,98.91,890.16,567.21
SO000007,2023-06-26,C00143,P0018,3,808.88,0.0,2426.64,0.0,,1219.74
SO000008,2022-03-23,C00239,P0005,3,483.19,0.15,1449.57,217.44,1232.13,732.63
SO000009,2023-09-09,C00321,P0020,8,1298.32,0.1,10386.56,1038.66,9347.9,5387.76
SO000010,2024-12-12,C00363,P0011,6,612.61,0.2,3675.66,735.13,2940.53,1940.52
SO000011,2024-04-06,C00082,P0014,2,1773.38,0.0,3546.76,0.0,3546.76,1484.8
SO000012,2023-08-25,C00170,P0012,4,1402.52,0.2,5610.08,1122.02,4488.06,2513.68
SO000013,2022-01-19,C00288,P0021,2,1034.07,0.05,2068.14,103.41,1964.73,828.08
SO000014,2023-05-15,C00315,P0020,1,1298.32,0.05,1298.32,64.92,1233.4,673.47
SO000015,2024-03-01,C00484,P0004,5,1701.98,0.05,8509.9,425.5,8084.4,3332.3
SO000016,2024-11-19,C00421,P0012,13,1402.52,0.0,18232.76,0.0,18232.76,8169.46
SO000017,2024-11-18,C00099,P0011,3,612.61,0.15,1837.83,275.67,1562.16,970.26
SO000018,2022-01-16,C00276,P0018,11,808.88,0.0,8897.68,0.0,8897.68,4472.38
SO000019,2024-05-18,C00443,P0022,2,316.23,0.0,632.46,0.0,632.46,308.2
SO000020,2022-05-28,C00380,P0014,12,1773.38,0.05,21280.56,1064.03,20216.53,8908.8
SO000021,2022-05-31,C00020,P0003,1,329.69,0.0,329.69,0.0,329.69,189.07
