signup_month,new_customers,cumulative_customers,customer_growth_pct,active_customers
2021-01,11,11,,
2021-02,5,16,45.45,
2021-03,4,20,25.0,
2021-04,12,32,60.0,
2021-05,10,42,31.25,
2021-06,16,58,38.1,
2021-07,9,67,15.52,
2021-08,16,83,23.88,
2021-09,5,88,6.02,
2021-10,14,102,15.91,
2021-11,9,111,8.82,
2021-12,12,123,10.81,
2022-01,8,131,6.5,326.0
2022-02,7,138,5.34,299.0
2022-03,9,147,6.52,338.0
2022-04,13,160,8.84,320.0
2022-05,20,180,12.5,342.0
2022-06,8,188,4.44,332.0
2022-07,13,201,6.91,323.0
2022-08,8,209,3.98,325.0
2022-09,10,219,4.78,329.0
2022-10,11,230,5.02,331.0
2022-11,13,243,5.65,333.0
2022-12,8,251,3.29,326.0
2023-01,10,261,3.98,334.0
2023-02,16,277,6.13,314.0
2023-03,9,286,3.25,337.0
2023-04,9,295,3.15,335.0
2023-05,12,307,4.07,336.0
2023-06,10,317,3.26,310.0
2023-07,12,329,3.79,320.0
2023-08,13,342,3.95,319.0
2023-09,7,349,2.05,327.0
2023-10,12,361,3.44,330.0
2023-11,7,368,1.94,323.0
2023-12,9,377,2.45,325.0
2024-01,12,389,3.18,345.0
2024-02,17,406,4.37,311.0
2024-03,16,422,3.94,351.0
2024-04,7,429,1.66,327.0
2024-05,10,439,2.33,347.0
2024-06,12,451,2.73,342.0
2024-07,8,459,1.77,338.0
2024-08,16,475,3.49,337.0
2024-09,13,488,2.74,328.0
2024-10,12,500,2.46,331.0
