month,revenue,profit,orders,customers,units,avg_order_value,revenue_growth_pct,revenue_yoy_pct,profit_margin_pct
2022-01,2539576.48,1251882.87,546,326,3451,4651.24,,,49.29
2022-02,2307871.35,1140895.92,486,299,3104,4748.71,-9.12,,49.43
2022-03,2809551.45,1394930.3,556,338,3694,5053.15,21.74,,49.65
2022-04,2424411.89,1209244.36,510,320,3288,4753.75,-13.71,,49.88
2022-05,2727954.42,1334765.66,564,342,3594,4836.8,12.52,,48.93
2022-06,2914097.77,1449916.99,561,332,3868,5194.47,6.82,,49.76
2022-07,2772008.15,1362703.34,548,323,3618,5058.41,-4.88,,49.16
2022-08,2553208.0100000002,1248530.59,527,325,3422,4844.8,-7.89,,48.9
2022-09,2364822.16,1155899.4,528,329,3268,4478.83,-7.38,,48.88
2022-10,2632620.32,1289206.0,552,331,3529,4769.24,11.32,,48.97
2022-11,3936980.57,1933392.6300000001,558,333,5396,7055.52,49.55,,49.11
2022-12,4481923.22,2215928.75,590,326,5881,7596.48,13.84,,49.44
2023-01,2514360.15,1239817.35,553,334,3434,4546.76,-43.9,-0.99,49.31
2023-02,2392358.55,1164053.55,499,314,3190,4794.31,-4.85,3.66,48.66
2023-03,2791590.94,1381251.23,572,337,3726,4880.4,16.69,-0.64,49.48
2023-04,2663179.06,1295187.0,547,335,3580,4868.7,-4.6,9.85,48.63
2023-05,2715048.73,1328792.7,563,336,3734,4822.47,1.95,-0.47,48.94
2023-06,2247441.07,1094489.58,516,310,3183,4355.51,-17.22,-22.88,48.7
2023-07,2288934.31,1124830.1,518,320,3262,4418.79,1.85,-17.43,49.14
2023-08,2660967.14,1322362.61,531,319,3466,5011.24,16.25,4.22,49.69
2023-09,2722824.95,1360455.72,547,327,3606,4977.74,2.32,15.14,49.96
2023-10,2458929.38,1208570.89,522,330,3239,4710.59,-9.69,-6.6,49.15
2023-11,3929607.7,1943263.52,519,323,5148,7571.5,59.81,-0.19,49.45
2023-12,3786866.81,1867018.45,539,325,5089,7025.73,-3.63,-15.51,49.3
2024-01,2955883.24,1427047.97,590,345,3934,5009.97,-21.94,17.56,48.28
2024-02,2537535.49,1259995.1,519,311,3335,4889.28,-14.15,6.07,49.65
2024-03,2527940.28,1241092.51,556,351,3376,4546.66,-0.38,-9.44,49.1
2024-04,2694717.66,1333846.21,555,327,3597,4855.35,6.6,1.18,49.5
2024-05,2610550.43,1272760.23,567,347,3598,4604.15,-3.12,-3.85,48.75
2024-06,3012053.74,1477582.08,583,342,3863,5166.47,15.38,34.02,49.06
2024-07,2619117.67,1297454.29,561,338,3561,4668.66,-13.05,14.43,49.54
2024-08,2778906.95,1378200.12,578,337,3699,4807.8,6.1,4.43,49.6
2024-09,2787769.43,1362148.6,546,328,3538,5105.8,0.32,2.39,48.86
2024-10,2667414.0,1312633.65,564,331,3624,4729.46,-4.32,8.48,49.21
2024-11,4025288.32,1977594.52,545,342,5277,7385.85,50.91,2.43,49.13
2024-12,4262502.92,2075387.39,549,333,5492,7764.12,5.89,12.56,48.69
