region_id,region_name,total_revenue,total_profit,total_orders,profit_margin_pct
R08,Asia Pacific,14165989.27,6982013.88,2691,49.29
R02,North America,12704924.05,6226662.21,2402,49.01
R09,Latin America,11067301.04,5454377.4,2051,49.28
R06,Asia Pacific,10807337.07,5267303.91,2072,48.74
R04,Europe,9993154.37,4943261.99,1847,49.47
R07,Asia Pacific,9832097.45,4830307.3,1912,49.13
R01,North America,9422685.73,4659753.27,1825,49.45
R10,Latin America,9198621.81,4493491.76,1799,48.85
R03,Europe,8811645.94,4333497.37,1690,49.18
R05,Europe,6399017.94,3182010.53,1229,49.73
R00,Unknown / Unassigned,714040.04,360452.56,147,50.48
