month,month_index,is_forecast,actual_revenue,moving_avg_3m,linear_trend,forecast_revenue,forecast_lower,forecast_upper
2022-01,0,0,2539576.48,2539576.48,2609458.06,,,
2022-02,1,0,2307871.35,2423723.92,2624023.66,,,
2022-03,2,0,2809551.45,2552333.09,2638589.25,,,
2022-04,3,0,2424411.89,2513944.9,2653154.84,,,
2022-05,4,0,2727954.42,2653972.59,2667720.44,,,
2022-06,5,0,2914097.77,2688821.36,2682286.03,,,
2022-07,6,0,2772008.15,2804686.78,2696851.63,,,
2022-08,7,0,2553208.0100000002,2746437.98,2711417.22,,,
2022-09,8,0,2364822.16,2563346.11,2725982.82,,,
2022-10,9,0,2632620.32,2516883.5,2740548.41,,,
2022-11,10,0,3936980.57,2978141.02,2755114.01,,,
2022-12,11,0,4481923.22,3683841.37,2769679.6,,,
2023-01,12,0,2514360.15,3644421.31,2784245.19,,,
2023-02,13,0,2392358.55,3129547.31,2798810.79,,,
2023-03,14,0,2791590.94,2566103.21,2813376.38,,,
2023-04,15,0,2663179.06,2615709.52,2827941.98,,,
2023-05,16,0,2715048.73,2723272.91,2842507.57,,,
2023-06,17,0,2247441.07,2541889.62,2857073.17,,,
2023-07,18,0,2288934.31,2417141.37,2871638.76,,,
2023-08,19,0,2660967.14,2399114.17,2886204.36,,,
2023-09,20,0,2722824.95,2557575.47,2900769.95,,,
2023-10,21,0,2458929.38,2614240.49,2915335.54,,,
2023-11,22,0,3929607.7,3037120.68,2929901.14,,,
2023-12,23,0,3786866.81,3391801.3,2944466.73,,,
2024-01,24,0,2955883.24,3557452.58,2959032.33,,,
2024-02,25,0,2537535.49,3093428.51,2973597.92,,,
2024-03,26,0,2527940.28,2673786.34,2988163.52,,,
2024-04,27,0,2694717.66,2586731.14,3002729.11,,,
2024-05,28,0,2610550.43,2611069.46,3017294.71,,,
2024-06,29,0,3012053.74,2772440.61,3031860.3,,,
2024-07,30,0,2619117.67,2747240.61,3046425.89,,,
2024-08,31,0,2778906.95,2803359.45,3060991.49,,,
2024-09,32,0,2787769.43,2728598.02,3075557.08,,,
2024-10,33,0,2667414.0,2744696.79,3090122.68,,,
2024-11,34,0,4025288.32,3160157.25,3104688.27,,,
2024-12,35,0,4262502.92,3651735.08,3119253.87,,,
2025-01,36,1,,,3133819.46,3003323.96,2579045.3,3427602.62
2025-02,37,1,,,3148385.06,2715500.0,2291221.34,3139778.66
2025-03,38,1,,,3162950.65,3060562.61,2636283.95,3484841.27
2025-04,39,1,,,3177516.24,2915694.47,2491415.81,3339973.13
2025-05,40,1,,,3192081.84,3024806.15,2600527.49,3449084.81
2025-06,41,1,,,3206647.43,3063811.12,2639532.46,3488089.78
